Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),Round_Communication(MB),Total_Communication(MB),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(f1),01-LDAP(rounds),02-Portmap(f1),02-Portmap(rounds),03-DNS(f1),03-DNS(rounds)
mlp,auto,auto,fedavg,False,0,0 1 2 3,39,118,0.91385,0.08213,002.95,0.0710,2.7688,0.89655,30,0.78652,24,0.98810,34,0.98425,30
mlp,auto,auto,fedavg,False,0,0 1 2 3,40,121,0.91385,0.08213,001.02,0.0710,2.8398,0.89655,31,0.78652,24,0.98810,35,0.98425,31
mlp,auto,auto,fedavg,False,0,0 1 2 3,41,124,0.91385,0.08213,002.95,0.0710,2.9108,0.89655,32,0.78652,25,0.98810,35,0.98425,32
mlp,auto,auto,fedavg,False,0,0 1 2 3,42,127,0.91385,0.08213,001.30,0.0710,2.9818,0.89655,33,0.78652,25,0.98810,36,0.98425,33
mlp,auto,auto,fedavg,False,0,0 1 2 3,43,130,0.91609,0.07869,001.19,0.0710,3.0528,0.89655,34,0.79545,25,0.98810,37,0.98425,34
mlp,auto,auto,fedavg,False,0,0 1 2 3,44,133,0.91609,0.07869,001.28,0.0710,3.1237,0.89655,35,0.79545,26,0.98810,38,0.98425,34
mlp,auto,auto,fedavg,False,0,0 1 2 3,45,136,0.91609,0.07869,001.31,0.0710,3.1947,0.89655,35,0.79545,27,0.98810,39,0.98425,35
mlp,auto,auto,fedavg,False,0,0 1 2 3,46,139,0.91837,0.07520,002.43,0.0710,3.2657,0.89655,35,0.80460,28,0.98810,40,0.98425,36
mlp,auto,auto,fedavg,False,0,0 1 2 3,47,142,0.91837,0.07520,001.31,0.0710,3.3367,0.89655,35,0.80460,29,0.98810,41,0.98425,37
mlp,auto,auto,fedavg,False,0,0 1 2 3,48,145,0.91837,0.07520,002.31,0.0710,3.4077,0.89655,35,0.80460,30,0.98810,42,0.98425,38
mlp,auto,auto,fedavg,False,0,0 1 2 3,49,148,0.91837,0.07520,001.30,0.0710,3.4787,0.89655,36,0.80460,30,0.98810,43,0.98425,39
mlp,auto,auto,fedavg,False,0,0 1 2 3,50,151,0.92071,0.07169,001.30,0.0710,3.5497,0.89655,37,0.81395,30,0.98810,44,0.98425,40
mlp,auto,auto,fedavg,False,0,0 1 2 3,51,154,0.92071,0.07169,001.34,0.0710,3.6207,0.89655,38,0.81395,31,0.98810,45,0.98425,40
mlp,auto,auto,fedavg,False,0,0 1 2 3,52,157,0.92071,0.07169,001.06,0.0710,3.6917,0.89655,39,0.81395,31,0.98810,46,0.98425,41
mlp,auto,auto,fedavg,False,0,0 1 2 3,53,160,0.92071,0.07169,001.36,0.0710,3.7627,0.89655,40,0.81395,32,0.98810,46,0.98425,42
mlp,auto,auto,fedavg,False,0,0 1 2 3,54,163,0.92071,0.07169,001.47,0.0710,3.8337,0.89655,41,0.81395,33,0.98810,47,0.98425,42
mlp,auto,auto,fedavg,False,0,0 1 2 3,55,166,0.92311,0.06816,001.31,0.0710,3.9047,0.89655,42,0.82353,33,0.98810,48,0.98425,43
mlp,auto,auto,fedavg,False,0,0 1 2 3,56,169,0.92311,0.06816,001.63,0.0710,3.9757,0.89655,42,0.82353,34,0.98810,49,0.98425,44
mlp,auto,auto,fedavg,False,0,0 1 2 3,57,172,0.92311,0.06816,001.29,0.0710,4.0467,0.89655,43,0.82353,35,0.98810,50,0.98425,44
mlp,auto,auto,fedavg,False,0,0 1 2 3,58,175,0.92311,0.06816,001.39,0.0710,4.1177,0.89655,43,0.82353,36,0.98810,51,0.98425,45
mlp,auto,auto,fedavg,False,0,0 1 2 3,59,178,0.92311,0.06816,001.94,0.0710,4.1886,0.89655,43,0.82353,37,0.98810,52,0.98425,46
mlp,auto,auto,fedavg,False,0,0 1 2 3,60,181,0.92311,0.06816,001.29,0.0710,4.2596,0.89655,44,0.82353,37,0.98810,53,0.98425,47
mlp,auto,auto,fedavg,False,0,0 1 2 3,61,184,0.92311,0.06816,001.30,0.0710,4.3306,0.89655,45,0.82353,37,0.98810,54,0.98425,48
mlp,auto,auto,fedavg,False,0,0 1 2 3,62,187,0.92311,0.06816,001.46,0.0710,4.4016,0.89655,46,0.82353,38,0.98810,54,0.98425,49
mlp,auto,auto,fedavg,False,0,0 1 2 3,63,190,0.92311,0.06816,002.24,0.0710,4.4726,0.89655,47,0.82353,39,0.98810,54,0.98425,50
mlp,auto,auto,fedavg,False,0,0 1 2 3,64,193,0.92311,0.06816,001.25,0.0710,4.5436,0.89655,47,0.82353,40,0.98810,55,0.98425,51
mlp,auto,auto,fedavg,False,0,0 1 2 3,65,196,0.92311,0.06816,001.30,0.0710,4.6146,0.89655,48,0.82353,40,0.98810,56,0.98425,52
mlp,auto,auto,fedavg,False,0,0 1 2 3,66,199,0.92311,0.06816,001.63,0.0710,4.6856,0.89655,49,0.82353,41,0.98810,57,0.98425,52
mlp,auto,auto,fedavg,False,0,0 1 2 3,67,202,0.92311,0.06816,002.41,0.0710,4.7566,0.89655,50,0.82353,42,0.98810,58,0.98425,52
mlp,auto,auto,fedavg,False,0,0 1 2 3,68,205,0.92311,0.06816,001.61,0.0710,4.8276,0.89655,50,0.82353,43,0.98810,59,0.98425,53
mlp,auto,auto,fedavg,False,0,0 1 2 3,69,208,0.92311,0.06816,001.30,0.0710,4.8986,0.89655,51,0.82353,43,0.98810,60,0.98425,54
mlp,auto,auto,fedavg,False,0,0 1 2 3,70,211,0.92556,0.06462,001.49,0.0710,4.9696,0.89655,52,0.83333,44,0.98810,60,0.98425,55
mlp,auto,auto,fedavg,False,0,0 1 2 3,71,214,0.92556,0.06462,001.24,0.0710,5.0406,0.89655,53,0.83333,44,0.98810,61,0.98425,56
mlp,auto,auto,fedavg,False,0,0 1 2 3,72,217,0.92556,0.06462,001.46,0.0710,5.1115,0.89655,54,0.83333,45,0.98810,61,0.98425,57
mlp,auto,auto,fedavg,False,0,0 1 2 3,73,220,0.92556,0.06462,002.29,0.0710,5.1825,0.89655,54,0.83333,46,0.98810,62,0.98425,58
mlp,auto,auto,fedavg,False,0,0 1 2 3,74,223,0.92556,0.06462,001.35,0.0710,5.2535,0.89655,55,0.83333,47,0.98810,62,0.98425,59
mlp,auto,auto,fedavg,False,0,0 1 2 3,75,226,0.92556,0.06462,002.42,0.0710,5.3245,0.89655,55,0.83333,48,0.98810,63,0.98425,60
mlp,auto,auto,fedavg,False,0,0 1 2 3,76,229,0.92556,0.06462,001.62,0.0710,5.3955,0.89655,56,0.83333,49,0.98810,64,0.98425,60
mlp,auto,auto,fedavg,False,0,0 1 2 3,77,232,0.92556,0.06462,001.36,0.0710,5.4665,0.89655,57,0.83333,50,0.98810,65,0.98425,60
mlp,auto,auto,fedavg,False,0,0 1 2 3,78,235,0.92807,0.06109,001.47,0.0710,5.5375,0.89655,57,0.84337,51,0.98810,66,0.98425,61
mlp,auto,auto,fedavg,False,0,0 1 2 3,79,238,0.92807,0.06109,001.36,0.0710,5.6085,0.89655,58,0.84337,52,0.98810,66,0.98425,62
